"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"Location","Location","","","",0,*,"","","","null {[]} {[]}
","用于描述一个实体地点的详细信息和位置信息","提供服务的实体地点的详细和位置信息，包括可以储存、查找、容纳或安置 resources和参与者的地点的信息。","","","","","","","","","",,,,,"",,,,"Location",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Entity. Role, or Act",".Role[classCode=SDLC]"
"Location.id","Location.id","","","",0,1,"","","Y","id {[]} {[]}
","不重复的ID用以识别储存在特定FHIR Server中的Location纪录，通常又称为逻辑性ID。","resource的逻辑ID，在resource的URL中使用。一旦指定，这个值永远不会改变。","一个resource使用新增操作（create operation）提交给服务器时，此resource没有id，它的id在resource被创建后由服务器分配/指定。","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Location.meta","Location.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Location.implicitRules","Location.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Location.language","Location.language","","","",0,1,"","","","code {[]} {[]}
","用以表述Location Resource内容的语言。","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""zh-CN""/>","","",,"preferred","人类语言；鼓励使用CommonLanguages代码表中的代码，但不强制一定要使用此代码表，你也可使用其他代码表的代码或单纯以文字表示。","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Location.text","Location.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Location Resource之内容摘要以供人阅读","人可读的叙述，包含resource的摘要，可用于向人表述resource的内容。叙述不需要对所有的结构化资料进行编码，但需要包含足够的细节使人在阅读叙述时理解「临床安全性」。resource定义有哪些内容应该在叙述中表示，以确保临床安全。","内嵌（contained）的resource没有叙述，非内嵌（contained）的resource则 **建议应该（SHOULD）** 有叙述。有时resource可能只有文字表述，很少或没有额外的结构化资料（只要满足所有minOccurs=1的资料项目）。这可能出现在旧系统的资料，当信息以 「文字表述区块（text blob） 」的形式被取得，或者文字表述是原始输入或说明，而编码信息稍后再添加。","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"Location.contained","Location.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","内嵌的（contained）、行内的Resources","这些resource内嵌（contains）的resource不会另外存于任何FHIR服务器，意即它们无法在任何FHIR服务器中被找到，也无法有自己独立的资料异动／交易（transaction）范围。","当内容可以从任何FHIR服务器找到时，不应该以内嵌（contained）resource的方式呈现，因为一旦失去识别，再次恢复它是非常困难的（并且取决于场景）。内嵌（contained）的resource可在它们的meta资料项目中表述profiles和tag，但不应该有安全标号（security labels）。","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"Location.extension","Location.extension","","","",0,*,"","","","Extension {[]} {[]}
","扩展字段","可用于表示不属于此resource基本定义的额外信息。为了扩充的使用安全和可管理，对扩充的定义和使用有一套严格的管理。尽管任何实作者都可以定义一个扩充，但作为扩充定义的一部分，**必须（SHALL）** 满足一系列要求。","任何应用程序、专案或标准使用扩充时，都不应该带有任何负面的联想。使用扩充是允许FHIR规范为每个人保留一个核心的简易性。","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.modifierExtension","Location.modifierExtension","","","",0,*,"","Y","","Extension {[]} {[]}
","此扩展字段可能会完全修正或改变其他资料项目的意涵，需特别留意。","可以用来表示不属于此resource的基本定义的额外信息，并修改包含它所内嵌（contained）的资料项目的理解和/或对包含资料项目之后续使用的理解。通常修饰用的资料项目提供否定或限定的信息。为了使扩充的使用安全和可管理，对扩充的定义和使用有一套严格的管理。虽然任何实作者都可以定义一个扩充，但在定义扩充时 **必须（SHALL）** 满足一组要求。处理resource的应用程序需要检查修饰用的扩充资料项目。  
修饰用的扩充资料项目 **必须没有（SHALL NOT）** 改变resource或DomainResource上任何资料项目的含义（包括不能改变modifierExtension本身的含义）。","任何应用程序、专案或标准使用扩充时，都不应该带有任何负面的联想。使用扩充是允许FHIR规范为每个人保留一个核心的简易性。","修饰用的资料项目扩充允许将不能安全地忽略的扩充，与绝大多数可以安全地忽略的扩充明确区分开来。这样做有助于促进可互操作性，因为无需禁止实作者使用扩充，想要了解更多信息，请参见[修饰用的资料项目扩充之定义]（http://hl7.org/fhir/R4/extensibility.html#modifierExtension）。","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.identifier","Location.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","地点的唯一识别号","这是唯一的识别号，用来帮助使用者识别该地点","","机构会在注册档中给地点贴上标签，我们需要记录并追踪这些被标记的地点。","","","","","","","",,,,,"",,,,"Location.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".id","FiveWs.identifier"
"Location.status","Location.status","","","",0,1,"Y","Y","Y","code {[]} {[]}
","active | suspended | inactive","这里的状态属性是指 resource 是否一般可用，而不是指它当前的具体状态。当前的具体状态可能会由 operationStatus 作描述，或者如果这个地点设有排程或时段的话，则由这些排程或时段来描述。","","","","","","","","","",,"required","地点的状态，指明该地点是否目前正在使用中；应填入所绑定值集中的其中一个代码。","http://hl7.org/fhir/ValueSet/location-status|4.0.1","",,,,"Location.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".statusCode","FiveWs.status"
